window_seconds,modality,fold,epoch,train_loss,train_accuracy
4.0,accel,1,1,1.0418240405815749,0.5176131883446721
4.0,accel,1,2,0.8440647913932083,0.6104193790915592
4.0,accel,1,3,0.7543024370864567,0.6565932554599967
4.0,accel,1,4,0.7011057705557694,0.6833293602039132
4.0,accel,1,5,0.6724615745665713,0.6979260264427044
4.0,accel,1,6,0.642531659185024,0.7098820897438248
4.0,accel,1,7,0.6116434705569358,0.7236719050849945
4.0,accel,1,8,0.5956801234896502,0.732052151908019
4.0,accel,1,9,0.5598201936754119,0.7487943080336676
4.0,accel,1,10,0.5525137930499127,0.7518199988997488
4.0,accel,2,1,1.039128515095242,0.5148196468275115
4.0,accel,2,2,0.8304380433349261,0.6070818250307786
4.0,accel,2,3,0.7429748914555514,0.6476543981183734
4.0,accel,2,4,0.6920118131905427,0.6750886606273314
4.0,accel,2,5,0.646599736011895,0.6992153764171919
4.0,accel,2,6,0.6177956085468727,0.7182705205711031
4.0,accel,2,7,0.5906873425821234,0.7319784641958068
4.0,accel,2,8,0.5658035963213507,0.745465904705904
4.0,accel,2,9,0.541291882170747,0.7625732713474578
4.0,accel,2,10,0.517078430176272,0.773580051818232
4.0,accel,3,1,1.0394614821334478,0.5130748918066457
4.0,accel,3,2,0.8531953972118542,0.606652974400352
4.0,accel,3,3,0.781470589003629,0.6456025819702194
4.0,accel,3,4,0.7220952455045926,0.6750531797843468
4.0,accel,3,5,0.6885779070275323,0.6925474950487787
4.0,accel,3,6,0.640092023861939,0.7166617765715543
4.0,accel,3,7,0.6086587369341429,0.732322306168855
4.0,accel,3,8,0.5827748778804963,0.7477627814860999
4.0,accel,3,9,0.5912849070399241,0.7405926795276168
4.0,accel,3,10,0.5700553252430643,0.750531797843468
4.0,accel,4,1,1.03440218571855,0.5178709179737722
4.0,accel,4,2,0.827964129513797,0.6201373838298497
4.0,accel,4,3,0.7501932386393341,0.6577710024611542
4.0,accel,4,4,0.6955925561883153,0.6861293758953826
4.0,accel,4,5,0.6470766647349061,0.7084817984792271
4.0,accel,4,6,0.6228885597977392,0.7228813870624105
4.0,accel,4,7,0.5926972663963507,0.7356646952944201
4.0,accel,4,8,0.5731473067111746,0.7445726040480476
4.0,accel,4,9,0.5553045999761657,0.7519009660948462
4.0,accel,4,10,0.5419718482617579,0.7596884986959557
4.0,accel,5,1,1.0340328219924682,0.5145837925207553
4.0,accel,5,2,0.8549735931827813,0.6004518404231871
4.0,accel,5,3,0.7741748994168015,0.6475461024171626
4.0,accel,5,4,0.7194340180557206,0.677723899786937
4.0,accel,5,5,0.6677453075619415,0.7078098596723239
4.0,accel,5,6,0.6359168671070982,0.7224303871868342
4.0,accel,5,7,0.598028574663557,0.7430754536771729
4.0,accel,5,8,0.5723687887901195,0.7577143486885607
4.0,accel,5,9,0.5602974010051615,0.7611307031077805
4.0,accel,5,10,0.5365252226676503,0.7706083314965837
