window_seconds,modality,fold,epoch,train_loss,train_accuracy
6.0,gyro,1,1,1.0917370215636204,0.49408781455858436
6.0,gyro,1,2,0.8695015820560958,0.5911634188693806
6.0,gyro,1,3,0.811530447926885,0.6266089688817839
6.0,gyro,1,4,0.7747313150290122,0.6449105592458863
6.0,gyro,1,5,0.7554763848448873,0.6544472313332047
6.0,gyro,1,6,0.7371142750975019,0.6673189823874756
6.0,gyro,1,7,0.7175038622385782,0.6792260411785783
6.0,gyro,1,8,0.6919264568241877,0.6889556517185303
6.0,gyro,1,9,0.682070152981864,0.6951021195667154
6.0,gyro,1,10,0.6712643753956226,0.6995948292494695
6.0,gyro,2,1,1.1093490966412465,0.49187877450845213
6.0,gyro,2,2,0.8926362071301465,0.5984060888508949
6.0,gyro,2,3,0.8359387270358165,0.6306979565948764
6.0,gyro,2,4,0.7967693691952159,0.6502219893555414
6.0,gyro,2,5,0.7640947318098784,0.6654716929101288
6.0,gyro,2,6,0.7341767496802062,0.6815762623059317
6.0,gyro,2,7,0.713676794378453,0.6902352259879215
6.0,gyro,2,8,0.7023517782583011,0.6929377050988611
6.0,gyro,2,9,0.6855695349327982,0.7032236715109065
6.0,gyro,2,10,0.6868815457380716,0.7003005818602984
6.0,gyro,3,1,1.0953419702692209,0.5015548889561604
6.0,gyro,3,2,0.8977781133823377,0.5944629441065581
6.0,gyro,3,3,0.8337603960918547,0.6274596141673776
6.0,gyro,3,4,0.7976621326958105,0.6445771527644
6.0,gyro,3,5,0.7643334876543871,0.6656575941877425
6.0,gyro,3,6,0.7399002063119209,0.674766766656576
6.0,gyro,3,7,0.7219914466099185,0.6853069873682472
6.0,gyro,3,8,0.7051611427550606,0.6882241241709552
6.0,gyro,3,9,0.6923809414485733,0.693040151911275
6.0,gyro,3,10,0.659506449455124,0.7128821862013925
6.0,gyro,4,1,1.1067278433124261,0.48778138587704334
6.0,gyro,4,2,0.8823176477750493,0.5923000715504431
6.0,gyro,4,3,0.829151511274336,0.6249656007485277
6.0,gyro,4,4,0.7917070614431431,0.6464032142660576
6.0,gyro,4,5,0.7708320393612969,0.6565028344983214
6.0,gyro,4,6,0.7547776067228714,0.6620892729374209
6.0,gyro,4,7,0.7203456309096409,0.6808024657383456
6.0,gyro,4,8,0.7055334873549565,0.6862513071715559
6.0,gyro,4,9,0.6946635378516562,0.694369530519016
6.0,gyro,4,10,0.68512675471715,0.6961858109967527
6.0,gyro,5,1,1.0912901940703816,0.4943352537420404
6.0,gyro,5,2,0.8847208042015566,0.5912010364693883
6.0,gyro,5,3,0.8213690409561231,0.6256581304959065
6.0,gyro,5,4,0.7872525634450029,0.6438514761419081
6.0,gyro,5,5,0.7535626772144918,0.6621550844887946
6.0,gyro,5,6,0.7315995045190912,0.6746974667144472
6.0,gyro,5,7,0.7177209910482327,0.6816715825454145
6.0,gyro,5,8,0.6967381013446255,0.6903547702400971
6.0,gyro,5,9,0.6825159935529037,0.6988449982082311
6.0,gyro,5,10,0.6721652130141859,0.7034209002949527
