model,modality,window_seconds,fold,eval_subjects,eval_windows,device,accuracy,macro_f1,weighted_f1
cnn_replication,accel,2.0,1,10,27138,cuda,0.5342692902940526,0.571914758169307,0.5364600770985078
cnn_replication,accel,2.0,2,10,27141,cuda,0.5377104749272319,0.5897622492848128,0.5426819905023348
cnn_replication,accel,2.0,3,10,27363,cuda,0.5364908818477506,0.5646959290993018,0.5290649434443687
cnn_replication,accel,2.0,4,11,27309,cuda,0.4524149547768135,0.463304887556868,0.460678855639438
cnn_replication,accel,2.0,5,10,27317,cuda,0.49255042647435665,0.49634362277027827,0.4903944398166673
cnn_replication,gyro,2.0,1,10,27138,cuda,0.5955486771316972,0.6080294972251273,0.5953517688883098
cnn_replication,gyro,2.0,2,10,27141,cuda,0.567112486643823,0.5496235254095069,0.5238043937438561
cnn_replication,gyro,2.0,3,10,27363,cuda,0.5352848737346051,0.5202423507131414,0.4885229740760017
cnn_replication,gyro,2.0,4,11,27309,cuda,0.4397451389651763,0.4340757878441035,0.45502096612351045
cnn_replication,gyro,2.0,5,10,27317,cuda,0.5621041842076363,0.49013915667964847,0.5353057235931524
cnn_replication,accel_gyro,2.0,1,10,27138,cuda,0.5228830422286094,0.5755817387116181,0.5281684588370957
cnn_replication,accel_gyro,2.0,2,10,27141,cuda,0.5427581887181755,0.5820113967588522,0.548906355344634
cnn_replication,accel_gyro,2.0,3,10,27363,cuda,0.5245769835178892,0.5643152021703065,0.5162207997832559
cnn_replication,accel_gyro,2.0,4,11,27309,cuda,0.48485847156615036,0.49649766189343375,0.4911162479756226
cnn_replication,accel_gyro,2.0,5,10,27317,cuda,0.5389318007101804,0.5393070341629163,0.5379640897554196
cnn_replication,accel,4.0,1,10,13561,cuda,0.5005530565592508,0.5814500405628328,0.49787275768763883
cnn_replication,accel,4.0,2,10,13673,cuda,0.5129086520880568,0.559824025279066,0.5094960228316111
cnn_replication,accel,4.0,3,10,13562,cuda,0.5850169591505677,0.6263574725719298,0.5790710954398341
cnn_replication,accel,4.0,4,11,13648,cuda,0.4901084407971864,0.4897943551850199,0.4891945146714884
cnn_replication,accel,4.0,5,10,13650,cuda,0.5487912087912088,0.5773908043578992,0.5502001439584532
cnn_replication,gyro,4.0,1,10,13561,cuda,0.5741464493768896,0.49426788700949426,0.5239772553950737
cnn_replication,gyro,4.0,2,10,13673,cuda,0.5842170701382287,0.5449178130127373,0.5456928968175803
cnn_replication,gyro,4.0,3,10,13562,cuda,0.5473381507152337,0.5180247251186798,0.49245429395239915
cnn_replication,gyro,4.0,4,11,13648,cuda,0.6033851113716295,0.5180673280850491,0.5713991922373293
cnn_replication,gyro,4.0,5,10,13650,cuda,0.553040293040293,0.4763693550073816,0.496305376726164
cnn_replication,accel_gyro,4.0,1,10,13561,cuda,0.4237888061352408,0.44674497935904056,0.40960720576516646
cnn_replication,accel_gyro,4.0,2,10,13673,cuda,0.5281942514444525,0.5858044396363141,0.5289189336085843
cnn_replication,accel_gyro,4.0,3,10,13562,cuda,0.5767585901784398,0.5889220752786192,0.5712090256216249
cnn_replication,accel_gyro,4.0,4,11,13648,cuda,0.5074736225087925,0.5217166412344664,0.5113353722974548
cnn_replication,accel_gyro,4.0,5,10,13650,cuda,0.5813919413919414,0.5914282385022793,0.5769562466981755
cnn_replication,accel,6.0,1,11,9093,cuda,0.48718794677224236,0.5390301470095268,0.48949011206599474
cnn_replication,accel,6.0,2,10,9111,cuda,0.5046646910328175,0.5469359818657616,0.5038612082916585
cnn_replication,accel,6.0,3,10,9037,cuda,0.5407768064623215,0.5943575208548064,0.5362006958675491
cnn_replication,accel,6.0,4,10,9036,cuda,0.47587428065515713,0.5048693021063505,0.4815443318900634
cnn_replication,accel,6.0,5,10,9097,cuda,0.5580960756293284,0.5650090833707865,0.5527846962990371
cnn_replication,gyro,6.0,1,11,9093,cuda,0.5847355108325085,0.5193122608737514,0.5577408549544743
cnn_replication,gyro,6.0,2,10,9111,cuda,0.5991658434858962,0.5823431192858873,0.5543182682731905
cnn_replication,gyro,6.0,3,10,9037,cuda,0.5915679982295009,0.5710322619217679,0.5427957579393244
cnn_replication,gyro,6.0,4,10,9036,cuda,0.6082337317397079,0.5438295568113503,0.5694584466280163
cnn_replication,gyro,6.0,5,10,9097,cuda,0.6048147741013521,0.5410895174359186,0.5633790807594478
cnn_replication,accel_gyro,6.0,1,11,9093,cuda,0.4518860662047729,0.506352204821784,0.4575888123805174
cnn_replication,accel_gyro,6.0,2,10,9111,cuda,0.5615190429151575,0.6227953912611616,0.5609166523917907
cnn_replication,accel_gyro,6.0,3,10,9037,cuda,0.5512891446276419,0.5988159732359932,0.5456357515182619
cnn_replication,accel_gyro,6.0,4,10,9036,cuda,0.4908145196989819,0.5200697872836751,0.4868498858621116
cnn_replication,accel_gyro,6.0,5,10,9097,cuda,0.5596350445201714,0.5654335630833728,0.559584020949227
