window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,accel,1,locomotion,0.9009009009009009,0.7493443237167479,0.8181632235631008,2669.0
2.0,accel,1,stairs,0.5608562691131499,0.6807720861172977,0.6150234741784038,1347.0
2.0,accel,1,static,0.30558598028477546,0.34572490706319703,0.3244186046511628,3228.0
2.0,accel,1,eat_drink,0.5147581003106968,0.5948961272121057,0.5519333729922665,7798.0
2.0,accel,1,sports,0.7563824008690929,0.6761349842194707,0.7140110242276632,4119.0
2.0,accel,1,upper_body,0.43851809139397435,0.3813463708160963,0.40793884940324526,7977.0
2.0,accel,1,accuracy,0.5342692902940526,0.5342692902940526,0.5342692902940526,0.5342692902940526
2.0,accel,1,macro avg,0.5795002904787651,0.5713697998574858,0.571914758169307,27138.0
2.0,accel,1,weighted avg,0.544406037062846,0.5342692902940526,0.5364600770985078,27138.0
2.0,accel,2,locomotion,0.9244001810774106,0.7565765098184513,0.8321108394458028,2699.0
2.0,accel,2,stairs,0.6197516262566529,0.779182156133829,0.6903820816864296,1345.0
2.0,accel,2,static,0.33513006796344036,0.41377314814814814,0.3703224135698563,3456.0
2.0,accel,2,eat_drink,0.5767884642307154,0.5269889997441801,0.5507653231735846,7818.0
2.0,accel,2,sports,0.6755393667694032,0.6493401562079181,0.6621807195825322,3713.0
2.0,accel,2,upper_body,0.4288307915758896,0.43686806411837237,0.4328121182506719,8110.0
2.0,accel,2,accuracy,0.5377104749272319,0.5377104749272319,0.5377104749272319,0.5377104749272319
2.0,accel,2,macro avg,0.5934067496455854,0.5937881723618165,0.5897622492848128,27141.0
2.0,accel,2,weighted avg,0.552012053453291,0.5377104749272319,0.5426819905023348,27141.0
2.0,accel,3,locomotion,0.8161068044788975,0.7005545286506469,0.7539287845633579,2705.0
2.0,accel,3,stairs,0.5757425742574257,0.7512919896640827,0.6519058295964125,1548.0
2.0,accel,3,static,0.2824387701928088,0.2990344827586207,0.29049979900844164,3625.0
