model,feature_set,window_seconds,fold,eval_subjects,eval_windows,n_features,accuracy,macro_f1,weighted_f1
majority,none,4.0,1,10,13561,0,0.29356242165032076,0.0756470185839699,0.13324273179682214
majority,none,4.0,2,10,13673,0,0.2606596942880129,0.06892150606253988,0.10779035220078644
majority,none,4.0,3,10,13562,0,0.2989971980533845,0.07672513292085296,0.13764359858165112
majority,none,4.0,4,11,13648,0,0.29572098475967173,0.07607630249566463,0.1349841545453557
majority,none,4.0,5,10,13650,0,0.2547985347985348,0.06768643935855519,0.10347843344573844
logistic_regression,stats,4.0,1,10,13561,78,0.50925447975813,0.5918540177307309,0.5095646526133355
logistic_regression,stats,4.0,2,10,13673,78,0.5108608205953339,0.5749466010634876,0.5043406818351699
logistic_regression,stats,4.0,3,10,13562,78,0.5597994396106769,0.6080937656545524,0.5457007774626339
logistic_regression,stats,4.0,4,11,13648,78,0.5005128956623681,0.5352453748213863,0.5142948545103624
logistic_regression,stats,4.0,5,10,13650,78,0.5111355311355311,0.54966553437427,0.49997949960473914
random_forest,stats,4.0,1,10,13561,78,0.5621266868225057,0.6153897263425887,0.5585782560000347
random_forest,stats,4.0,2,10,13673,78,0.5664448182549551,0.6189202472769125,0.5610704180574431
random_forest,stats,4.0,3,10,13562,78,0.5978469252322667,0.6512047071838508,0.5925145383818442
random_forest,stats,4.0,4,11,13648,78,0.5194167643610785,0.5382043081413069,0.5248721157644107
random_forest,stats,4.0,5,10,13650,78,0.5775091575091575,0.6065884623876255,0.5715798593264076
lightgbm,stats_freq,4.0,1,10,13561,126,0.6133028537718457,0.6810103199513237,0.6156571743711233
lightgbm,stats_freq,4.0,2,10,13673,126,0.6291230893000804,0.6595967115836302,0.6234084068898256
lightgbm,stats_freq,4.0,3,10,13562,126,0.6519687361746055,0.7091033949704264,0.6474862498991293
lightgbm,stats_freq,4.0,4,11,13648,126,0.5708528722157092,0.6029428379577062,0.5784958981579166
lightgbm,stats_freq,4.0,5,10,13650,126,0.6265201465201465,0.6613572601678269,0.623651592962533
xgboost,stats_freq,4.0,1,10,13561,126,0.6275348425632328,0.687991513874271,0.6268623714273087
xgboost,stats_freq,4.0,2,10,13673,126,0.6343889417099393,0.6626033633441617,0.6270725013813272
xgboost,stats_freq,4.0,3,10,13562,126,0.6633239935112816,0.7093440687769624,0.6579425038219446
xgboost,stats_freq,4.0,4,11,13648,126,0.582869284876905,0.6102006724957545,0.5861411200402357
xgboost,stats_freq,4.0,5,10,13650,126,0.6501098901098901,0.6782441551959161,0.6443121030021997
