window_seconds,model,feature_set,fold,class,precision,recall,f1-score,support
4.0,majority,none,1,locomotion,0.0,0.0,0.0,1335.0
4.0,majority,none,1,stairs,0.0,0.0,0.0,673.0
4.0,majority,none,1,static,0.0,0.0,0.0,1615.0
4.0,majority,none,1,eat_drink,0.0,0.0,0.0,3989.0
4.0,majority,none,1,sports,0.0,0.0,0.0,1968.0
4.0,majority,none,1,upper_body,0.29356242165032076,1.0,0.4538821115038194,3981.0
4.0,majority,none,1,accuracy,0.29356242165032076,0.29356242165032076,0.29356242165032076,0.29356242165032076
4.0,majority,none,1,macro avg,0.04892707027505346,0.16666666666666666,0.0756470185839699,13561.0
4.0,majority,none,1,weighted avg,0.08617889540520071,0.29356242165032076,0.13324273179682214,13561.0
4.0,majority,none,2,locomotion,0.0,0.0,0.0,1352.0
4.0,majority,none,2,stairs,0.0,0.0,0.0,775.0
4.0,majority,none,2,static,0.0,0.0,0.0,1809.0
4.0,majority,none,2,eat_drink,0.2606596942880129,1.0,0.4135290363752393,3564.0
4.0,majority,none,2,sports,0.0,0.0,0.0,2063.0
4.0,majority,none,2,upper_body,0.0,0.0,0.0,4110.0
4.0,majority,none,2,accuracy,0.2606596942880129,0.2606596942880129,0.2606596942880129,0.2606596942880129
4.0,majority,none,2,macro avg,0.043443282381335484,0.16666666666666666,0.06892150606253988,13673.0
4.0,majority,none,2,weighted avg,0.06794347622632034,0.2606596942880129,0.10779035220078644,13673.0
4.0,majority,none,3,locomotion,0.0,0.0,0.0,1348.0
4.0,majority,none,3,stairs,0.0,0.0,0.0,671.0
4.0,majority,none,3,static,0.0,0.0,0.0,1728.0
4.0,majority,none,3,eat_drink,0.0,0.0,0.0,3907.0
4.0,majority,none,3,sports,0.0,0.0,0.0,1853.0
4.0,majority,none,3,upper_body,0.2989971980533845,1.0,0.46035079752511776,4055.0
4.0,majority,none,3,accuracy,0.2989971980533845,0.2989971980533845,0.2989971980533845,0.2989971980533845
4.0,majority,none,3,macro avg,0.04983286634223075,0.16666666666666666,0.07672513292085296,13562.0
4.0,majority,none,3,weighted avg,0.08939932444377481,0.2989971980533845,0.13764359858165112,13562.0
4.0,majority,none,4,locomotion,0.0,0.0,0.0,1543.0
4.0,majority,none,4,stairs,0.0,0.0,0.0,875.0
4.0,majority,none,4,static,0.0,0.0,0.0,1295.0
4.0,majority,none,4,eat_drink,0.0,0.0,0.0,3649.0
4.0,majority,none,4,sports,0.0,0.0,0.0,2250.0
4.0,majority,none,4,upper_body,0.29572098475967173,1.0,0.4564578149739878,4036.0
4.0,majority,none,4,accuracy,0.29572098475967173,0.29572098475967173,0.29572098475967173,0.29572098475967173
4.0,majority,none,4,macro avg,0.04928683079327862,0.16666666666666666,0.07607630249566463,13648.0
4.0,majority,none,4,weighted avg,0.08745090082723,0.29572098475967173,0.1349841545453557,13648.0
4.0,majority,none,5,locomotion,0.0,0.0,0.0,1536.0
4.0,majority,none,5,stairs,0.0,0.0,0.0,742.0
4.0,majority,none,5,static,0.0,0.0,0.0,1633.0
4.0,majority,none,5,eat_drink,0.0,0.0,0.0,4031.0
4.0,majority,none,5,sports,0.0,0.0,0.0,2230.0
4.0,majority,none,5,upper_body,0.2547985347985348,1.0,0.40611863615133115,3478.0
4.0,majority,none,5,accuracy,0.2547985347985348,0.2547985347985348,0.2547985347985348,0.2547985347985348
4.0,majority,none,5,macro avg,0.04246642246642247,0.16666666666666666,0.06768643935855519,13650.0
4.0,majority,none,5,weighted avg,0.06492229333548016,0.2547985347985348,0.10347843344573844,13650.0
4.0,logistic_regression,stats,1,locomotion,0.8995633187772926,0.9258426966292135,0.9125138427464009,1335.0
4.0,logistic_regression,stats,1,stairs,0.7973421926910299,0.7132243684992571,0.7529411764705882,673.0
4.0,logistic_regression,stats,1,static,0.23221413477342098,0.6123839009287926,0.33673816819884234,1615.0
4.0,logistic_regression,stats,1,eat_drink,0.5500848896434635,0.40611682125846077,0.46726276319584653,3989.0
4.0,logistic_regression,stats,1,sports,0.7155056179775281,0.8089430894308943,0.7593608394943954,1968.0
4.0,logistic_regression,stats,1,upper_body,0.4587198515769944,0.24843004270283847,0.3223073162783119,3981.0
4.0,logistic_regression,stats,1,accuracy,0.50925447975813,0.50925447975813,0.50925447975813,0.50925447975813
4.0,logistic_regression,stats,1,macro avg,0.6089050009066216,0.6191568199082428,0.5918540177307309,13561.0
4.0,logistic_regression,stats,1,weighted avg,0.5560888993439562,0.50925447975813,0.5095646526133355,13561.0
4.0,logistic_regression,stats,2,locomotion,0.8916382252559727,0.7729289940828402,0.8280507131537242,1352.0
